Date,S. No.,Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
04-14-2020,32,Uttar Pradesh,657,49,5
04-14-2020,32,West Bengal,190,36,7
04-15-2020,1,Andaman and Nicobar Islands,11,10,0
04-15-2020,2,Andhra Pradesh,503,16,9
04-15-2020,3,Arunachal Pradesh,1,0,0
04-15-2020,4,Assam,33,0,1
04-15-2020,5,Bihar,70,29,1
04-15-2020,6,Chandigarh,21,7,0
04-15-2020,7,Chhattisgarh,33,13,0
04-15-2020,8,Delhi,1561,30,30
04-15-2020,9,Goa,7,5,0
04-15-2020,10,Gujarat,695,59,30
04-15-2020,11,Haryana,199,34,3
04-15-2020,12,Himachal Pradesh,33,13,1
04-15-2020,13,Jammu and Kashmir,278,30,4
04-15-2020,14,Jharkhand,27,0,2
04-15-2020,15,Karnataka,277,75,11
04-15-2020,16,Kerala,387,211,3
04-15-2020,17,Ladakh,17,10,0
04-15-2020,18,Madhya Pradesh,987,64,53
04-15-2020,19,Maharashtra,2687,259,178
04-15-2020,20,Manipur,2,1,0
04-15-2020,21,Meghalaya,7,0,1
04-15-2020,22,Mizoram,1,0,0
04-15-2020,23,Nagaland#,0,0,0
04-15-2020,24,Odisha,60,18,1
04-15-2020,25,Puducherry,7,1,0
04-15-2020,26,Punjab,186,14,13
04-15-2020,27,Rajasthan,1005,147,3
04-15-2020,28,Tamil Nadu,1204,81,12
04-15-2020,29,Telengana,647,120,18
04-15-2020,30,Tripura,2,0,0
04-15-2020,31,Uttarakhand,37,9,0
04-15-2020,32,Uttar Pradesh,735,51,11
04-15-2020,32,West Bengal,213,37,7
04-16-2020,1,Andaman and Nicobar Islands,11,10,0
04-16-2020,2,Andhra Pradesh,534,20,14
04-16-2020,3,Arunachal Pradesh,1,0,0
04-16-2020,4,Assam,33,5,1
04-16-2020,5,Bihar,74,29,1
04-16-2020,6,Chandigarh,21,7,0
04-16-2020,7,Chhattisgarh,33,17,0
04-16-2020,8,Delhi,1578,42,32
04-16-2020,9,Goa,7,5,0
04-16-2020,10,Gujarat,871,64,36
04-16-2020,11,Haryana,205,43,3
04-16-2020,12,Himachal Pradesh,35,16,1
04-16-2020,13,Jammu and Kashmir,300,36,4
04-16-2020,14,Jharkhand,28,0,2
04-16-2020,15,Karnataka,315,82,13
04-16-2020,16,Kerala,388,218,3
04-16-2020,17,Ladakh,17,10,0
04-16-2020,18,Madhya Pradesh,1120,64,53
04-16-2020,19,Maharashtra,2919,295,187
04-16-2020,20,Manipur,2,1,0
04-16-2020,21,Meghalaya,7,0,1
04-16-2020,22,Mizoram,1,0,0
04-16-2020,23,Nagaland#,0,0,0
04-16-2020,24,Odisha,60,18,1
04-16-2020,25,Puducherry,7,1,0
04-16-2020,26,Punjab,186,27,13
04-16-2020,27,Rajasthan,1023,147,3
04-16-2020,28,Tamil Nadu,1242,118,14
04-16-2020,29,Telengana,698,120,18
04-16-2020,30,Tripura,2,1,0
04-16-2020,31,Uttarakhand,37,9,0
04-16-2020,32,Uttar Pradesh,773,68,13
04-16-2020,32,West Bengal,231,42,7
04-17-2020,1,Andaman and Nicobar Islands,11,10,0
04-17-2020,2,Andhra Pradesh,572,36,14
04-17-2020,3,Arunachal Pradesh,1,0,0
04-17-2020,4,Assam,35,5,1
04-17-2020,5,Bihar,83,37,1
04-17-2020,6,Chandigarh,21,9,0
04-17-2020,7,Chhattisgarh,36,23,0
04-17-2020,8,Delhi,1640,51,38
04-17-2020,9,Goa,7,6,0
04-17-2020,10,Gujarat,1021,74,38
04-17-2020,11,Haryana,205,43,3
04-17-2020,12,Himachal Pradesh,35,16,1
04-17-2020,13,Jammu and Kashmir,314,38,4
04-17-2020,14,Jharkhand,29,0,2
04-17-2020,15,Karnataka,353,82,13
04-17-2020,16,Kerala,395,245,3
04-17-2020,17,Ladakh,18,14,0
04-17-2020,18,Madhya Pradesh,1308,65,57
04-17-2020,19,Maharashtra,3205,300,194
04-17-2020,20,Manipur,2,1,0
04-17-2020,21,Meghalaya,9,0,1
04-17-2020,22,Mizoram,1,0,0
04-17-2020,23,Nagaland#,0,0,0
04-17-2020,24,Odisha,60,19,1
04-17-2020,25,Puducherry,7,1,0
04-17-2020,26,Punjab,186,27,13
04-17-2020,27,Rajasthan,1131,164,11
04-17-2020,28,Tamil Nadu,1267,180,15
04-17-2020,29,Telengana,743,186,18
04-17-2020,30,Tripura,2,1,0
04-17-2020,31,Uttarakhand,37,9,0
04-17-2020,32,Uttar Pradesh,846,74,14
04-17-2020,32,West Bengal,255,51,10
04-18-2020,1,Andaman and Nicobar Islands,12,11,0
04-18-2020,2,Andhra Pradesh,603,42,15
04-18-2020,3,Arunachal Pradesh,1,0,0
04-18-2020,4,Assam,35,9,1
04-18-2020,5,Bihar,85,37,2
04-18-2020,6,Chandigarh,21,9,0
04-18-2020,7,Chhattisgarh,36,24,0
04-18-2020,8,Delhi,1707,72,42
04-18-2020,9,Goa,7,6,0
04-18-2020,10,Gujarat,1272,88,48
04-18-2020,11,Haryana,225,43,3
04-18-2020,12,Himachal Pradesh,38,16,1
04-18-2020,13,Jammu and Kashmir,328,42,5
04-18-2020,14,Jharkhand,33,0,2
04-18-2020,15,Karnataka,371,92,13
04-18-2020,16,Kerala,396,255,3
04-18-2020,17,Ladakh,18,14,0
04-18-2020,18,Madhya Pradesh,1355,69,69
04-18-2020,19,Maharashtra,3323,331,201
04-18-2020,20,Manipur,2,1,0
04-18-2020,21,Meghalaya,11,0,1
04-18-2020,22,Mizoram,1,0,0
04-18-2020,23,Nagaland#,0,0,0
04-18-2020,24,Odisha,60,21,1
04-18-2020,25,Puducherry,7,3,0
04-18-2020,26,Punjab,202,27,13
04-18-2020,27,Rajasthan,1229,183,11
04-18-2020,28,Tamil Nadu,1323,283,15
04-18-2020,29,Telengana,791,186,18
04-18-2020,30,Tripura,2,1,0
04-18-2020,31,Uttarakhand,42,9,0
04-18-2020,32,Uttar Pradesh,969,86,14
04-18-2020,32,West Bengal,287,55,10
04-19-2020,1,Andaman and Nicobar Islands,14,11,0
04-19-2020,2,Andhra Pradesh,603,42,15
04-19-2020,3,Arunachal Pradesh,1,0,0
04-19-2020,4,Assam,35,12,1
04-19-2020,5,Bihar,86,37,2
04-19-2020,6,Chandigarh,23,10,0
04-19-2020,7,Chhattisgarh,36,24,0
04-19-2020,8,Delhi,1893,72,43
04-19-2020,9,Goa,7,6,0
04-19-2020,10,Gujarat,1604,94,58
04-19-2020,11,Haryana,233,87,3
04-19-2020,12,Himachal Pradesh,39,16,1
04-19-2020,13,Jammu and Kashmir,341,51,5
04-19-2020,14,Jharkhand,35,0,2
04-19-2020,15,Karnataka,384,104,14
04-19-2020,16,Kerala,400,257,3
04-19-2020,17,Ladakh,18,14,0
04-19-2020,18,Madhya Pradesh,1407,127,70
04-19-2020,19,Maharashtra,3651,365,211
04-19-2020,20,Manipur,2,1,0
04-19-2020,21,Meghalaya,11,0,1
